来源,listing_id,listing_key,タイトル,年式,走行距離,色,販売店場所,販売店都道府県,url,本体価格,総価格
bikekan,294022,bikekan:294022,ホンダ CB400 SUPER FOUR REVO ABS（スーパーフォア） 買取強化中,2019,9931,ダークネスブラックメタリック（黑）,前橋店,群馬県,https://www.bikekan.jp/buy/detail/294022,1299000,1414800
webike,2393219,webike:2393219,CB400スーパーフォア [最終型 ABS LEDヘッドライト標準装備モデル] /ホンダ,2019,7573,キャンディークロモスフィアレッド（红白黑）,大阪府 大東市 三箇 3-11-48,大阪府,https://moto.webike.net/bike_detail/2393219/,1299000,1393100
8190,2100011639591,8190:2100011639591,HONDA CB400 SUPER FOUR 2019年モデル/エンジンガード/リアフェンダーレス/純正スペアキーあり,2019,11040,ダークネスブラックメタリック（黑）,新潟店,新潟県,https://www.8190.jp/wish/ds/bike/2100011639591/,1298000,
webike,2416132,webike:2416132,CB400スーパーフォア /ホンダ,2019,10117,ダークネスブラックメタリック（黑）,神奈川県 横浜市港北区 菊名7-9-25,神奈川県,https://moto.webike.net/bike_detail/2416132/,1298000,1404600
webike,2418020,webike:2418020,CB400スーパーフォア /ホンダ,2019,9927,ダークネスブラックメタリック（黑）,愛知県 一宮市 島崎1-1-14,愛知県,https://moto.webike.net/bike_detail/2418020/,1298000,1404600
webike,2420276,webike:2420276,CB400スーパーフォア /ホンダ 2021年登録最終モデル 75143,2021,2300,キャンディークロモスフィアレッド（红白黑）,宮城県 仙台市宮城野区 出花1丁目16-12,宮城県,https://moto.webike.net/bike_detail/2420276/,1298000,1376000
webike,2427752,webike:2427752,CB400スーパーフォア /ホンダ,2019,11040,ダークネスブラックメタリック（黑）,新潟県 新潟市中央区 女池5-2-25,新潟県,https://moto.webike.net/bike_detail/2427752/,1298000,1404600
8190,2100011500938,8190:2100011500938,HONDA CB400 SUPER FOUR HYPER VTEC Revo NC42型 カスタムレバー装備,2019,13587,アトモスフィアブルーメタリック（蓝白）,府中店,東京都,https://www.8190.jp/wish/ds/bike/2100011500938/,1288000,
bikekan,288483,bikekan:288483,ホンダ CB400 SUPER BOLD'OR REVO ABS（スーパーボルドール） 【お問い合わせは名古屋みなと店まで】ETC・グリップヒーター・モリワキエンジンスライダー装備,2019,7189,ダークネスブラックメタリック（黑）,名古屋みなと店,愛知県,https://www.bikekan.jp/buy/detail/288483,1279900,1395700
webike,2391917,webike:2391917,CB400スーパーフォア [最終型 ABS LEDヘッドライト標準装備モデル] /ホンダ ご購入希望、ご購入のご相談は080-7795-4091吉澤まで!,2019,11590,キャンディークロモスフィアレッド（红白黑）,大阪府 大東市 三箇 3-11-48,大阪府,https://moto.webike.net/bike_detail/2391917/,1279000,1372500
webike,2392440,webike:2392440,CB400スーパーフォア /ホンダ,2019,11569,アトモスフィアブルーメタリック（蓝白）,埼玉県 上尾市 上257-1,埼玉県,https://moto.webike.net/bike_detail/2392440/,1278000,1340900
webike,2391531,webike:2391531,CB400スーパーフォア /ホンダ ETC車載器、USBソケット付き,2019,17062,キャンディークロモスフィアレッド（红白黑）,宮城県 仙台市青葉区大手町 8-18,宮城県,https://moto.webike.net/bike_detail/2391531/,1268000,1330200
webike,2356142,webike:2356142,CB400スーパーフォア /ホンダ NC42 エンジンスライダー ラジエターガード ETC付,2019,14969,キャンディークロモスフィアレッド（红白黑）,大阪府 東大阪市 中野南2番44号,大阪府,https://moto.webike.net/bike_detail/2356142/,1265000,1388300
webike,2426399,webike:2426399,CB400スーパーフォア /ホンダ,2019,11712,キャンディークロモスフィアレッド（红白黑）,神奈川県 横浜市港北区 菊名7-9-25,神奈川県,https://moto.webike.net/bike_detail/2426399/,1258000,1320900
bikekan,288611,bikekan:288611,ホンダ CB400 SUPER BOLD'OR REVO ABS（スーパーボルドール） 【下取り＆買取り強化中】,2019,5297,ダークネスブラックメタリック（黑）,蕨店,埼玉県,https://www.bikekan.jp/buy/detail/288611,1249900,1365700
bikekan,291009,bikekan:291009,ホンダ CB400 SUPER BOLD'OR REVO ABS（スーパーボルドール） 最終型 BEAMS スリップオンJMCA,2019,7853,キャンディークロモスフィアレッド（红白黑）,川崎店,神奈川県,https://www.bikekan.jp/buy/detail/291009,1249900,1365700
bikekan,291776,bikekan:291776,ホンダ CB400 SUPER BOLD'OR REVO ABS（スーパーボルドール） グリップヒーター/エンジンガード/USB電源,2019,5849,ダークネスブラックメタリック（黑）,港南店,神奈川県,https://www.bikekan.jp/buy/detail/291776,1249900,1365700
webike,2406552,webike:2406552,CB400スーパーフォア /ホンダ,2019,17167,キャンディークロモスフィアレッド（红白黑）,埼玉県 川口市 弥平1-12-10,埼玉県,https://moto.webike.net/bike_detail/2406552/,1248000,1317000
webike,2428444,webike:2428444,CB400スーパーフォア /ホンダ VTEC Revo NC42 最終型 ETC ドラレコ ラジエターコアガード,2022,7888,キャンディークロモスフィアレッド（红白黑）,神奈川県 相模原市中央区 田名4147-2,神奈川県,https://moto.webike.net/bike_detail/2428444/,1248000,1305100
webike,2359614,webike:2359614,CB400スーパーフォア /ホンダ ABS NC42 ETC付 SHOWAサスペンション,2019,17603,ダークネスブラックメタリック（黑）,大阪府 東大阪市 中野南2番44号,大阪府,https://moto.webike.net/bike_detail/2359614/,1210000,1333300
bikekan,288942,bikekan:288942,ホンダ CB400 SUPER BOLD'OR REVO ABS（スーパーボルドール） ２０１９年モデル ETC2.0・USB電源付！絶版ボルドールのキレイな良質中古車！ぜひサウンド聴いて下さい！,2019,8143,ダークネスブラックメタリック（黑）,岐阜長良店,岐阜県,https://www.bikekan.jp/buy/detail/288942,1199900,1315700
bikekan,291410,bikekan:291410,ホンダ CB400 SUPER BOLD'OR REVO ABS（スーパーボルドール） モリワキマフラー装着で心地よいサウンドと軽量化を実現,2019,5042,ダークネスブラックメタリック（黑）,浦和店,埼玉県,https://www.bikekan.jp/buy/detail/291410,1199900,1315700
bikekan,291670,bikekan:291670,ホンダ CB400 SUPER BOLD'OR REVO ABS（スーパーボルドール） USB電源装備！,2019,11598,アトモスフィアブルーメタリック（蓝白）,仙台南店,宮城県,https://www.bikekan.jp/buy/detail/291670,1199900,1315700
bikekan,294182,bikekan:294182,ホンダ CB400 SUPER BOLD'OR REVO（スーパーボルドール）,2019,9439,ダークネスブラックメタリック（黑）,大宮店,埼玉県,https://www.bikekan.jp/buy/detail/294182,1199900,1315700
bikekan,292363,bikekan:292363,ホンダ CB400 SUPER BOLD'OR REVO ABS（スーパーボルドール） ETC、USB装備 ミラー等カスタム多数！,2019,15059,アトモスフィアブルーメタリック（蓝白）,富田林店,大阪府,https://www.bikekan.jp/buy/detail/292363,1199000,1314800
webike,2420567,webike:2420567,CB400スーパーフォア /ホンダ NC42型最終モデル 前後LEDライト 社外スリップオンマフラー 400cc4気筒エンジン,2020,18585,キャンディークロモスフィアレッド（红白黑）,愛知県 名古屋市天白区 植田南2-1104,愛知県,https://moto.webike.net/bike_detail/2420567/,1199000,1322300
webike,2390185,webike:2390185,CB400スーパーフォア [安心FIレボ] /ホンダ HONDA CB400SF 2019年モデル ETC USB エンジンガード ハンドルアップスペーサー リムステッカー,2019,8739,アトモスフィアブルーメタリック（蓝白）,大阪府 寝屋川市 河北東町1-15,大阪府,https://moto.webike.net/bike_detail/2390185/,1155000,1278300
bikekan,290275,bikekan:290275,ホンダ CB400 SUPER BOLD'OR REVO ABS（スーパーボルドール） ETC、USBにリアキャリア装備済み!!,2019,18692,アトモスフィアブルーメタリック（蓝白）,伏見店,京都府,https://www.bikekan.jp/buy/detail/290275,1149900,1235500
8190,2100011246386,8190:2100011246386,HONDA 【残価据置 対象】CB400スーパーフォア 受注期間限定のカラーリングであるマットシルバーをまとった特別なスーフォア！ 便利なエンジンガード装備!,2020,28210,マットベータシルバーメタリック（银色）,岡山店,岡山県,https://www.8190.jp/wish/ds/bike/2100011246386/,1148000,
webike,2410947,webike:2410947,CB400スーパーフォア /ホンダ,2020,28210,マットベータシルバーメタリック（银色）,岡山県 岡山市北区 大安寺南町1-1-73,岡山県,https://moto.webike.net/bike_detail/2410947/,1148000,1210900
webike,2427078,webike:2427078,CB400スーパーフォア /ホンダ スマホホルダー 純正スペアキーカバー付き ワンオーナー フルノーマル,2019,20926,ダークネスブラックメタリック（黑）,大阪府 大東市 三箇 3-11-48,大阪府,https://moto.webike.net/bike_detail/2427078/,1139000,1229800
bikekan,293847,bikekan:293847,ホンダ CB400 SUPER FOUR REVO ABS（スーパーフォア） 【2019年モデル】ETC2.0 USB ドライブレコーダー エンジンガード ハンドルスペーサー等装備 ★お電話にて当店より車両状態詳細をお伝えいたします！,2019,17763,ダークネスブラックメタリック（黑）,久留米インター店,福岡県,https://www.bikekan.jp/buy/detail/293847,1119900,1235700
bikekan,291818,bikekan:291818,ホンダ CB400 SUPER BOLD'OR REVO ABS（スーパーボルドール） 買取査定大歓迎！！,2019,18923,キャンディークロモスフィアレッド（红白黑）,前橋店,群馬県,https://www.bikekan.jp/buy/detail/291818,1099900,1215700
bikekan,293411,bikekan:293411,ホンダ CB400 SUPER BOLD'OR REVO ABS E-Package ETC グリップヒーター フェンダーレス,2019,7986,キャンディークロモスフィアレッド（红白黑）,門真店,大阪府,https://www.bikekan.jp/buy/detail/293411,1099900,1215700
bikekan,293418,bikekan:293418,"ホンダ CB400 SUPER BOLD'OR REVO ABS（スーパーボルドール） オーリンスリアサスペンション、フェンダレス、エンジンガード、USB,グリップヒーター",2019,17025,ダークネスブラックメタリック（黑）,小山店,栃木県,https://www.bikekan.jp/buy/detail/293418,1099900,1215700
webike,2424867,webike:2424867,CB400スーパーフォア /ホンダ,2020,44037,マットベータシルバーメタリック（银色）,三重県 鈴鹿市 庄野羽山4-1-2,三重県,https://moto.webike.net/bike_detail/2424867/,1098000,1160900
webike,2419409,webike:2419409,CB400スーパーフォア /ホンダ,2019,N/A,ダークネスブラックメタリック（黑）,千葉県 木更津市 築地1-4 イオンモール木更津内,千葉県,https://moto.webike.net/bike_detail/2419409/,1058000,1120900
webike,2412634,webike:2412634,CB400スーパーフォア /ホンダ NC42 400ccネイキッド 最終型 モリワキショートマフラー ETC付,2019,47065,キャンディークロモスフィアレッド（红白黑）,愛知県 名古屋市天白区 植田南2-1104,愛知県,https://moto.webike.net/bike_detail/2412634/,1023000,1146300
u-media,1350659,u-media:1350659,CB400SB,2019,23242,ダークネスブラックメタリック（黑）,ユーメディア小田原,神奈川県,https://u-media.ne.jp/bike/detail.php?skanrino=1350659,999900,
webike,2424610,webike:2424610,CB400スーパーフォア /ホンダ ETC スマホホルダー USB マルチバー,2020,34930,ダークネスブラックメタリック（黑）,北海道 札幌市白石区 本通12丁目北1-15,北海道,https://moto.webike.net/bike_detail/2424610/,990000,1078700
webike,2424607,webike:2424607,CB400スーパーフォア /ホンダ ETC スマホホルダー USB マルチバー,2020,34346,ダークネスブラックメタリック（黑）,北海道 札幌市白石区 本通12丁目北1-15,北海道,https://moto.webike.net/bike_detail/2424607/,884400,
