来源,タイトル,年式,走行距離,色,販売店場所,url,本体価格,総価格
bikekan,ホンダ CB400 SUPER BOLD'OR REVO ABS（スーパーボルドール） USB電源装備！,2019,"11,598km",,仙台南店,https://www.bikekan.jp/buy/detail/291670,1199900,1315700
bikekan,ホンダ CB400 SUPER FOUR REVO ABS（スーパーフォア） 【問い合わせは名古屋みなと店まで】低走行で外装ツヤ◎！社外グリップ、レバー ＥＴＣ、スマホホルダーなど小物類も充実！,2019,"2,562km",,名古屋みなと店,https://www.bikekan.jp/buy/detail/292951,1399900,1515700
bikekan,ホンダ CB400 SUPER BOLD'OR REVO ABS（スーパーボルドール） 【下取り＆買取り強化中】,2019,"5,297km",,蕨店,https://www.bikekan.jp/buy/detail/288611,1249900,1365700
bikekan,ホンダ CB400 SUPER FOUR REVO ABS（スーパーフォア） 極低走行車！ フルノーマル,2019,356km,,浜松有玉店,https://www.bikekan.jp/buy/detail/289643,1499900,1585500
bikekan,ホンダ CB400 SUPER FOUR REVO ABS（スーパーフォア） 【ビキニカウル・グリップヒーター装備】,2019,52km,,大宮店,https://www.bikekan.jp/buy/detail/289910,1499900,1615700
bikekan,ホンダ CB400 SUPER FOUR REVO（スーパーフォア） 2019年モデル ビキニカウル エンジンガード,2019,"1,956km",,足利店,https://www.bikekan.jp/buy/detail/287873,1449900,1565700
bikekan,ホンダ CB400 SUPER FOUR REVO ABS（スーパーフォア） 買取強化中,2019,"9,931km",,前橋店,https://www.bikekan.jp/buy/detail/294022,1299000,1414800
bikekan,ホンダ CB400 SUPER BOLD'OR REVO ABS E-Package ★★NC42後期最終モデル！！★★,2019,"1,411km",,富士店,https://www.bikekan.jp/buy/detail/292488,1299900,1387000
bikekan,ホンダ CB400 SUPER BOLD'OR REVO（スーパーボルドール） ETC エンジンガード キャリア ゼログラビティスクリーン,2019,"6,346km",,熊本本山店,https://www.bikekan.jp/buy/detail/293003,1299900,1415700
bikekan,ホンダ CB400 SUPER BOLD'OR REVO ABS（スーパーボルドール） 未走行美車！ノーマル車両！【来店商談予約割引実施中！】,2019,1km,,茨木鮎川店,https://www.bikekan.jp/buy/detail/283795,1439900,1527600
bikekan,ホンダ CB400 SUPER FOUR REVO ABS（スーパーフォア） 【小牧店限定キャンペーン中！！】走行距離わずか2km！安心のフルノーマル！,2019,2km,,小牧店,https://www.bikekan.jp/buy/detail/293524,1599900,1689100
bikekan,ホンダ CB400 SUPER FOUR REVO ABS（スーパーフォア） 【２０１９年モデル】エンジンガード USB電源 フェンダーレス★価格ご相談下さい！,2019,"3,628km",,三郷上彦名店,https://www.bikekan.jp/buy/detail/288923,1399900,1515700
bikekan,ホンダ CB400 SUPER FOUR ABS（スーパーフォア） 2019年モデル！ USB電源装備！ スライダー付き！,2019,"1,718km",,京都木津川店,https://www.bikekan.jp/buy/detail/290206,1399900,1515700
bikekan,ホンダ CB400 SUPER BOLD'OR REVO ABS（スーパーボルドール）,2019,"3,930km",,座間店,https://www.bikekan.jp/buy/detail/290472,1499900,1586800
bikekan,ホンダ CB400 SUPER BOLD'OR REVO ABS（スーパーボルドール） ２０１９年モデル ETC2.0・USB電源付！絶版ボルドールのキレイな良質中古車！ぜひサウンド聴いて下さい！,2019,"8,143km",,岐阜長良店,https://www.bikekan.jp/buy/detail/288942,1199900,1315700
bikekan,ホンダ CB400 SUPER FOUR REVO（スーパーフォア） セパハン ユーカナヤ製レバー,2019,"8,108km",,天白店,https://www.bikekan.jp/buy/detail/293046,1299900,1415700
bikekan,ホンダ CB400 SUPER FOUR REVO ABS（スーパーフォア） 【通販大歓迎】2019年モデル,2019,"2,640km",,新潟中央店,https://www.bikekan.jp/buy/detail/283068,1399900,1515700
bikekan,ホンダ CB400 SUPER BOLD'OR REVO ABS（スーパーボルドール） グリップヒーター/エンジンガード/USB電源,2019,"5,849km",,港南店,https://www.bikekan.jp/buy/detail/291776,1249900,1365700
bikekan,ホンダ CB400 SUPER BOLD'OR REVO ABS（スーパーボルドール） 最終型 BEAMS スリップオンJMCA,2019,"7,853km",,川崎店,https://www.bikekan.jp/buy/detail/291009,1249900,1365700
bikekan,ホンダ CB400 SUPER BOLD'OR REVO ABS（スーパーボルドール） 【グリップヒーター ＥＴＣ装備】,2019,"5,939km",,千葉鶴沢店,https://www.bikekan.jp/buy/detail/288716,1299900,1415700
bikekan,ホンダ CB400 SUPER FOUR REVO ABS（スーパーフォア） 【2019年モデル】ETC2.0 USB ドライブレコーダー エンジンガード ハンドルスペーサー等装備 ★お電話にて当店より車両状態詳細をお伝えいたします！,2019,"17,763km",,久留米インター店,https://www.bikekan.jp/buy/detail/293847,1119900,1235700
bikekan,ホンダ CB400 SUPER FOUR VTEC REVO（CB400スーパーフォアVテックレボ） 生産終了モデル！エンジンガード、リアキャリア(ﾉｰﾏﾙ)戻し可)装備,2019,"11,274km",,富田林店,https://www.bikekan.jp/buy/detail/288218,1299900,1415700
bikekan,ホンダ CB400 SUPER BOLD'OR REVO ABS（スーパーボルドール） 【お問い合わせは名古屋みなと店まで】ETC・グリップヒーター・モリワキエンジンスライダー装備,2019,"7,189km",,名古屋みなと店,https://www.bikekan.jp/buy/detail/288483,1279900,1395700
bikekan,ホンダ CB400 SUPER BOLD'OR REVO ABS（スーパーボルドール） ETC、USBにリアキャリア装備済み!!,2019,"18,692km",,伏見店,https://www.bikekan.jp/buy/detail/290275,1149900,1235500
bikekan,ホンダ CB400 SUPER BOLD'OR REVO ABS（スーパーボルドール） 買取査定大歓迎！！,2019,"18,923km",,前橋店,https://www.bikekan.jp/buy/detail/291818,1099900,1215700
bikekan,ホンダ CB400 SUPER BOLD'OR REVO ABS（スーパーボルドール） スポーツグリップヒーター・ETC車載器標準装備,2019,447km,,札幌店,https://www.bikekan.jp/buy/detail/292086,1399900,1515700
